folder,image,logical,corrColor,corrR,corrG,corrB,image_path,thisN,thisTrialN,thisRepN,spacebar.keys,spacebar.rt,spacebar.duration,blue.numClicks,blue.timesOn,blue.timesOff,yellow.numClicks,yellow.timesOn,yellow.timesOff,purple.numClicks,purple.timesOn,purple.timesOff,cyan.numClicks,cyan.timesOn,cyan.timesOff,red.numClicks,red.timesOn,red.timesOff,green.numClicks,green.timesOn,green.timesOff,slider.response,slider.rt,slider.history,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,button2.numClicks,button2.timesOn,button2.timesOff,blue_3.numClicks,blue_3.timesOn,blue_3.timesOff,yellow_3.numClicks,yellow_3.timesOn,yellow_3.timesOff,purple_3.numClicks,purple_3.timesOn,purple_3.timesOff,cyan_3.numClicks,cyan_3.timesOn,cyan_3.timesOff,red_3.numClicks,red_3.timesOn,red_3.timesOff,green_3.numClicks,green_3.timesOn,green_3.timesOff,Button3.numClicks,Button3.timesOn,Button3.timesOff,blue_2.numClicks,blue_2.timesOn,blue_2.timesOff,yellow_2.numClicks,yellow_2.timesOn,yellow_2.timesOff,purple_2.numClicks,purple_2.timesOn,purple_2.timesOff,cyan_2.numClicks,cyan_2.timesOn,cyan_2.timesOff,red_2.numClicks,red_2.timesOn,red_2.timesOff,green_2.numClicks,green_2.timesOn,green_2.timesOff,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Welcome.started,Welcome_info.started,PressEnter.started,PressEnterToContinue.started,Welcome.stopped,PressEnter.keys,PressEnter.rt,PressEnter.duration,img_Var.routineStartVal,initiate.started,initiate.stopped,img_Var.routineEndVal,logical_Var.routineEndVal,corrColor_Var.routineEndVal,corrR_Var.routineEndVal,corrG_Var.routineEndVal,corrB_Var.routineEndVal,filterCount.routineEndVal,img_Var1.routineEndVal,trial_counter.routineEndVal,answer.routineStartVal,trial_1.started,img.started,blue.started,yellow.started,purple.started,cyan.started,red.started,green.started,RBGInfo.started,G.started,B.started,R.started,spacebar.started,trial_1.stopped,corrColorVar.routineEndVal,filterChange.routineEndVal,trials.spacebar.keys,trials.spacebar.rt,trials.spacebar.duration,trials.blue.numClicks,trials.blue.timesOn,trials.blue.timesOff,trials.yellow.numClicks,trials.yellow.timesOn,trials.yellow.timesOff,trials.purple.numClicks,trials.purple.timesOn,trials.purple.timesOff,trials.cyan.numClicks,trials.cyan.timesOn,trials.cyan.timesOff,trials.red.numClicks,trials.red.timesOn,trials.red.timesOff,trials.green.numClicks,trials.green.timesOn,trials.green.timesOff,answer.routineEndVal,Pause350.started,text_8.started,text_8.stopped,Pause350.stopped,confidence.started,slider.started,text_9.started,mouse_2.started,text_answer.started,green_3.started,button2.started,confidence.stopped,trials.slider.response,trials.slider.rt,trials.slider.history,trials.mouse_2.x,trials.mouse_2.y,trials.mouse_2.leftButton,trials.mouse_2.midButton,trials.mouse_2.rightButton,trials.mouse_2.time,trials.mouse_2.clicked_name,trials.button2.numClicks,trials.button2.timesOn,trials.button2.timesOff,trials.blue_3.numClicks,trials.blue_3.timesOn,trials.blue_3.timesOff,trials.yellow_3.numClicks,trials.yellow_3.timesOn,trials.yellow_3.timesOff,trials.purple_3.numClicks,trials.purple_3.timesOn,trials.purple_3.timesOff,trials.cyan_3.numClicks,trials.cyan_3.timesOn,trials.cyan_3.timesOff,trials.red_3.numClicks,trials.red_3.timesOn,trials.red_3.timesOff,trials.green_3.numClicks,trials.green_3.timesOn,trials.green_3.timesOff,confirm.started,Button3.started,correctAnswer.started,RBGInfo_2.started,R_2.started,G_2.started,B_2.started,key_resp.started,confirm.stopped,trials.Button3.numClicks,trials.Button3.timesOn,trials.Button3.timesOff,trials.blue_2.numClicks,trials.blue_2.timesOn,trials.blue_2.timesOff,trials.yellow_2.numClicks,trials.yellow_2.timesOn,trials.yellow_2.timesOff,trials.purple_2.numClicks,trials.purple_2.timesOn,trials.purple_2.timesOff,trials.cyan_2.numClicks,trials.cyan_2.timesOn,trials.cyan_2.timesOff,trials.red_2.numClicks,trials.red_2.timesOn,trials.red_2.timesOff,trials.green_2.numClicks,trials.green_2.timesOn,trials.green_2.timesOff,trials.key_resp.keys,PauseEnd.started,text_11.started,text_11.stopped,PauseEnd.stopped,colorList.routineEndVal,blue_3.started,red_3.started,yellow_3.started,cyan_3.started,purple_3.started,congrats.started,GoodJob.started,congrats.stopped,trial_counter.endExpVal,colorList.expEndVal,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.016652500024065375,0.03715910017490387,0.8036682000383735,1.0034939001780003,6.986736800055951,return,6.171615999890491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,018_Green.jpg,True,Green,0,98,4,01-1/018_Green_0.png,0,0,0,"['space', 'space', 'space', 'space']","[6.180386200081557, 7.1557036999147385, 7.846321200020611, 8.808235300006345]","[0.1248321000020951, 0.14297300018370152, 0.1432558000087738, 0.14293000008910894]",0,,,0,,,0,,,0,,,0,,,1,[13.184822999872267],[13.184838899876922],5.0,1.263974200002849,"[(5.0, 1.263974200002849)]","[0.3575, -0.01]","[-0.035833333333333335, -0.295]","[1, 1]","[0, 0]","[0, 0]","[1.01293609989807, 2.4781038998626173]","[None, 'button2']",1,[2.497513599926606],[2.497522799996659],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.9527624999172986],[0.9527727998793125],0,,,0,,,0,,,0,,,0,,,0,,,None,0,0,0,11,7.216841800138354,,,,,,,,,,,01-1/018_Green_0.png,7.014842200092971,7.015480899950489,01-1/018_Green_0.png,True,Green,0,98,4,"[0.1582164999563247, 7.311925699934363, 8.19871799997054, 8.94342239992693, 9.872650399804115]",01-1/018_Green_0.png,1,,7.076873700134456,7.216841800138354,7.216841800138354,7.216841800138354,7.216841800138354,7.216841800138354,7.216841800138354,7.216841800138354,7.216841800138354,7.216841800138354,7.216841800138354,7.333718900103122,8.034021700033918,20.20263670012355,Green,1,"['space', 'space', 'space', 'space']","[6.180386200081557, 7.1557036999147385, 7.846321200020611, 8.808235300006345]","[0.1248321000020951, 0.14297300018370152, 0.1432558000087738, 0.14293000008910894]",0,,,0,,,0,,,0,,,0,,,1,[13.184822999872267],[13.184838899876922],Green,23.052382200025022,23.0684555999469,20.616927300114185,23.402844000142068,20.571386700030416,20.616927300114185,20.616927300114185,0.018440800020471215,20.616927300114185,20.616927300114185,21.88231090013869,23.051953100133687,5.0,1.263974200002849,"[(5.0, 1.263974200002849)]","[0.3575, -0.01]","[-0.035833333333333335, -0.295]","[1, 1]","[0, 0]","[0, 0]","[1.01293609989807, 2.4781038998626173]","[None, 'button2']",1,[2.497513599926606],[2.497522799996659],0,,,0,,,0,,,0,,,0,,,0,,,23.42767270002514,23.466064700158313,23.466064700158313,23.466064700158313,23.466064700158313,23.466064700158313,23.466064700158313,23.466064700158313,24.35674490011297,1,[0.9527624999172986],[0.9527727998793125],0,,,0,,,0,,,0,,,0,,,0,,,None,24.357088000047952,24.368172600166872,24.850165900075808,24.702796100173146,['Green'],,,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,022_Blue.jpg,True,Blue,4,0,99,01-1/022_Blue_0.png,1,1,0,['space'],[0.47805749997496605],[0.10687889996916056],1,[4.5923752000089735],[4.5923890001140535],0,,,0,,,0,,,0,,,0,,,5.0,1.5144285999704152,"[(5.0, 1.5144285999704152)]","[0.3875, 0.04666666666666667]","[-0.0033333333333333335, -0.29083333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.2757502000313252, 2.607510300120339]","[None, 'button2']",1,[2.6177305998280644],[2.6177544998936355],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.0679779998026788],[1.0679886997677386],0,,,0,,,0,,,0,,,0,,,0,,,None,0,1,1,16,24.850165900075808,,,,,,,,,,,01-1/022_Blue_0.png,24.703458599979058,24.70360999996774,01-1/022_Blue_0.png,True,Blue,4,0,99,"[0.9384717000648379, 1.485680100042373]",01-1/022_Blue_0.png,2,,24.708087099948898,24.850165900075808,24.850165900075808,24.850165900075808,24.850165900075808,24.850165900075808,24.850165900075808,24.850165900075808,24.850165900075808,24.850165900075808,24.850165900075808,25.11760300002061,25.666832000017166,29.29893789999187,Blue,2,['space'],[0.47805749997496605],[0.10687889996916056],1,[4.5923752000089735],[4.5923890001140535],0,,,0,,,0,,,0,,,0,,,Blue,32.26974910008721,32.28609100007452,32.64877900015563,32.61994680017233,29.65830760006793,29.69959370000288,29.69959370000288,0.009216599864885211,29.69959370000288,,31.23247510008514,32.269180400064215,5.0,1.5144285999704152,"[(5.0, 1.5144285999704152)]","[0.3875, 0.04666666666666667]","[-0.0033333333333333335, -0.29083333333333333]","[1, 1]","[0, 0]","[0, 0]","[1.2757502000313252, 2.607510300120339]","[None, 'button2']",1,[2.6177305998280644],[2.6177544998936355],0,,,0,,,0,,,0,,,0,,,0,,,32.636978100053966,32.64877900015563,32.64877900015563,32.64877900015563,32.64877900015563,32.64877900015563,32.64877900015563,32.64877900015563,33.68927159998566,1,[1.0679779998026788],[1.0679886997677386],0,,,0,,,0,,,0,,,0,,,0,,,None,33.68960959999822,33.70213530003093,34.18314049998298,34.03604510007426,"['Green', 'Blue']",29.69959370000288,,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,012_Green.jpg,True,Green,3,94,4,01-1/012_Green_0.png,2,2,0,"['space', 'space']","[0.42948020016774535, 0.971875200048089]","[0.12488340004347265, 0.1340654999949038]",0,,,0,,,0,,,0,,,0,,,1,[4.877305999863893],[4.877319999970496],5.0,1.266033599851653,"[(5.0, 1.266033599851653)]","[0.3675, 0.055, 0.02666666666666667]","[-0.025833333333333333, -0.24916666666666668, -0.30083333333333334]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.0570030000526458, 2.4234215999022126, 3.357120499946177]","[None, None, 'button2']",1,[3.365931199863553],[3.3659405997022986],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.0023627998307347],[1.0023796998430043],0,,,0,,,0,,,0,,,0,,,0,,,None,0,2,2,6,34.18314049998298,,,,,,,,,,,01-1/012_Green_0.png,34.0367473999504,34.03689300012775,01-1/012_Green_0.png,True,Green,3,94,4,"[1.5936533999629319, 2.03403429989703]",01-1/012_Green_0.png,3,,34.04202440008521,34.18314049998298,34.18314049998298,34.18314049998298,34.18314049998298,34.18314049998298,34.18314049998298,34.18314049998298,34.18314049998298,34.18314049998298,34.18314049998298,34.48245929996483,35.083124900003895,38.916837899945676,Green,2,"['space', 'space']","[0.42948020016774535, 0.971875200048089]","[0.12488340004347265, 0.1340654999949038]",0,,,0,,,0,,,0,,,0,,,1,[4.877305999863893],[4.877319999970496],Green,42.63514250004664,42.65173780010082,,42.98537250002846,39.275084000080824,39.315485700033605,39.315485700033605,0.008005699841305614,39.315485700033605,39.315485700033605,40.598788199946284,42.63467020005919,5.0,1.266033599851653,"[(5.0, 1.266033599851653)]","[0.3675, 0.055, 0.02666666666666667]","[-0.025833333333333333, -0.24916666666666668, -0.30083333333333334]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.0570030000526458, 2.4234215999022126, 3.357120499946177]","[None, None, 'button2']",1,[3.365931199863553],[3.3659405997022986],0,,,0,,,0,,,0,,,0,,,0,,,42.997277999995276,43.0150103000924,43.0150103000924,43.0150103000924,43.0150103000924,43.0150103000924,43.0150103000924,43.0150103000924,43.99000720004551,1,[1.0023627998307347],[1.0023796998430043],0,,,0,,,0,,,0,,,0,,,0,,,None,43.99048060015775,44.00183950015344,44.48302559996955,44.33553789998405,"['Green', 'Blue', 'Green']",,,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,023_Red.jpg,True,Red,100,0,1,01-1/023_Red_0.png,3,3,0,"['space', 'space']","[0.29945709998719394, 0.9487961998675019]","[0.15190159995108843, 0.1160928001627326]",0,,,0,,,0,,,0,,,1,[4.000450100051239],[4.00046190014109],0,,,5.0,1.3806068999692798,"[(5.0, 1.3806068999692798)]","[0.35333333333333333, 0.015833333333333335]","[0.0025, -0.2816666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.1412064000032842, 2.539553799899295]","[None, 'button2']",1,[2.542505399789661],[2.542515399865806],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7024958999827504],[0.7025061999447644],0,,,0,,,0,,,0,,,0,,,0,,,None,0,3,3,19,44.48302559996955,,,,,,,,,,,01-1/023_Red_0.png,44.33623160002753,44.33637959999032,01-1/023_Red_0.png,True,Red,100,0,1,"[1.3166445000097156, 2.001413300167769]",01-1/023_Red_0.png,4,,44.34174660011195,44.48302559996955,44.48302559996955,44.48302559996955,44.48302559996955,44.48302559996955,44.48302559996955,44.48302559996955,44.48302559996955,44.48302559996955,44.48302559996955,44.74869040003978,45.28294580010697,48.33970050001517,Red,2,"['space', 'space']","[0.29945709998719394, 0.9487961998675019]","[0.15190159995108843, 0.1160928001627326]",0,,,0,,,0,,,0,,,1,[4.000450100051239],[4.00046190014109],0,,,Red,51.23437640001066,51.251533600036055,48.73167540016584,51.58480800013058,48.69171510008164,48.73167540016584,48.73167540016584,0.0017977997194975615,48.73167540016584,,50.13170709996484,51.233965900028124,5.0,1.3806068999692798,"[(5.0, 1.3806068999692798)]","[0.35333333333333333, 0.015833333333333335]","[0.0025, -0.2816666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.1412064000032842, 2.539553799899295]","[None, 'button2']",1,[2.542505399789661],[2.542515399865806],0,,,0,,,0,,,0,,,0,,,0,,,51.60026159998961,51.61471480014734,51.61471480014734,51.61471480014734,51.61471480014734,51.61471480014734,51.61471480014734,51.61471480014734,52.28850260004401,1,[0.7024958999827504],[0.7025061999447644],0,,,0,,,0,,,0,,,0,,,0,,,None,52.288913200143725,52.300372699974105,52.76849410007708,52.63478119997308,"['Green', 'Blue', 'Green', 'Red']",,48.73167540016584,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,029_Yellow.jpg,True,Yellow,100,94,5,01-1/029_Yellow_0.png,4,4,0,"['space', 'space']","[0.031232800101861358, 0.786738800117746]","[0.13348570000380278, 0.12455659988336265]",0,,,1,[4.179011000087485],[4.179024300072342],0,,,0,,,0,,,0,,,5.0,1.4138680000323802,"[(5.0, 1.4138680000323802)]","[0.3858333333333333, 0.015833333333333335]","[-0.016666666666666666, -0.2816666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.1773601998575032, 2.4763833000324667]","[None, 'button2']",1,[2.4824652997776866],[2.4824810998979956],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.7333875000476837],[0.7333984998986125],0,,,0,,,0,,,0,,,0,,,0,,,None,0,4,4,24,52.76849410007708,,,,,,,,,,,01-1/029_Yellow_0.png,52.63583150017075,52.63599000009708,01-1/029_Yellow_0.png,True,Yellow,100,94,5,"[1.1266574999317527, 1.9279358999338]",01-1/029_Yellow_0.png,5,,52.64033140009269,52.76849410007708,52.76849410007708,52.76849410007708,52.76849410007708,52.76849410007708,52.76849410007708,52.76849410007708,52.76849410007708,52.76849410007708,52.76849410007708,52.99890880007297,53.66558809997514,56.81801900011487,Yellow,2,"['space', 'space']","[0.031232800101861358, 0.786738800117746]","[0.13348570000380278, 0.12455659988336265]",0,,,1,[4.179011000087485],[4.179024300072342],0,,,0,,,0,,,0,,,Yellow,59.65302300010808,59.66834120010026,60.03090100013651,60.0014150000643,57.173286400036886,57.215110999997705,57.215110999997705,0.005006699822843075,57.215110999997705,,58.64783719996922,59.65257970010862,5.0,1.4138680000323802,"[(5.0, 1.4138680000323802)]","[0.3858333333333333, 0.015833333333333335]","[-0.016666666666666666, -0.2816666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.1773601998575032, 2.4763833000324667]","[None, 'button2']",1,[2.4824652997776866],[2.4824810998979956],0,,,0,,,0,,,0,,,0,,,0,,,60.014555300120264,60.03090100013651,60.03090100013651,60.03090100013651,60.03090100013651,60.03090100013651,60.03090100013651,60.03090100013651,60.73811820009723,1,[0.7333875000476837],[0.7333984998986125],0,,,0,,,0,,,0,,,0,,,0,,,None,60.73842149996199,60.7509916999843,61.216156100155786,61.08567719999701,"['Green', 'Blue', 'Green', 'Red', 'Yellow']",,,57.215110999997705,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,007_Blue.jpg,True,Blue,0,2,97,01-1/007_Blue_0.png,5,5,0,['space'],[0.41319849994033575],[0.11583400005474687],1,[4.599789399886504],[4.599802199983969],0,,,0,,,0,,,0,,,0,,,5.0,1.1968225000891834,"[(5.0, 1.1968225000891834)]","[0.3616666666666667, 0.04666666666666667]","[-0.020833333333333332, -0.2675]","[1, 1]","[0, 0]","[0, 0]","[0.9341929999645799, 2.2338115000166]","[None, 'button2']",1,[2.256424400024116],[2.2564652001019567],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.8858413000125438],[0.885852999985218],0,,,0,,,0,,,0,,,0,,,0,,,None,0,5,5,3,61.216156100155786,,,,,,,,,,,01-1/007_Blue_0.png,61.086405999958515,61.086554600158706,01-1/007_Blue_0.png,True,Blue,0,2,97,"[0.9143523999955505, 1.4028913998045027]",01-1/007_Blue_0.png,6,,61.091406600084156,61.216156100155786,61.216156100155786,61.216156100155786,61.216156100155786,61.216156100155786,61.216156100155786,61.216156100155786,61.216156100155786,61.216156100155786,61.216156100155786,61.44888050016016,62.03147210017778,65.69166800007224,Blue,2,['space'],[0.41319849994033575],[0.11583400005474687],1,[4.599789399886504],[4.599802199983969],0,,,0,,,0,,,0,,,0,,,Blue,68.30082789994776,68.31820209999569,66.0640066000633,68.651339400094,66.04064780008048,66.0640066000633,66.0640066000633,0.022201400017365813,66.0640066000633,,67.29819370014593,68.30039039999247,5.0,1.1968225000891834,"[(5.0, 1.1968225000891834)]","[0.3616666666666667, 0.04666666666666667]","[-0.020833333333333332, -0.2675]","[1, 1]","[0, 0]","[0, 0]","[0.9341929999645799, 2.2338115000166]","[None, 'button2']",1,[2.256424400024116],[2.2564652001019567],0,,,0,,,0,,,0,,,0,,,0,,,68.66233399999328,68.68038080004044,68.68038080004044,68.68038080004044,68.68038080004044,68.68038080004044,68.68038080004044,68.68038080004044,69.53827490005642,1,[0.8858413000125438],[0.885852999985218],0,,,0,,,0,,,0,,,0,,,0,,,None,69.53860040009022,69.54977040016092,70.03176470007747,69.88397480011918,"['Green', 'Blue', 'Green', 'Red', 'Yellow', 'Blue']",66.0640066000633,,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,024_Green.jpg,True,Green,2,100,1,01-1/024_Green_0.png,6,6,0,['space'],[0.612373000010848],[0.14283200004138052],0,,,0,,,0,,,0,,,0,,,1,[4.19345589983277],[4.193470899946988],5.0,1.3480062000453472,"[(5.0, 1.3480062000453472)]","[0.37166666666666665, 0.06166666666666667]","[0.010833333333333334, -0.27166666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.1068102999124676, 2.1072431998327374]","[None, 'button2']",1,[2.118055999977514],[2.1180648000445217],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6023355999495834],[0.6023510999511927],0,,,0,,,0,,,0,,,0,,,0,,,None,0,6,6,21,70.03176470007747,,,,,,,,,,,01-1/024_Green_0.png,69.88497100002132,69.88515300001018,01-1/024_Green_0.png,True,Green,2,100,1,"[0.7348768999800086, 1.691203699912876]",01-1/024_Green_0.png,7,,69.89030870003626,70.03176470007747,70.03176470007747,70.03176470007747,70.03176470007747,70.03176470007747,70.03176470007747,70.03176470007747,70.03176470007747,70.03176470007747,70.03176470007747,70.28240250004455,70.89848610013723,74.08101389999501,Green,2,['space'],[0.612373000010848],[0.14283200004138052],0,,,0,,,0,,,0,,,0,,,1,[4.19345589983277],[4.193470899946988],Green,76.55123069998808,76.56656700000167,,76.90216580010019,74.44121440011077,74.48093790002167,74.48093790002167,0.009981799870729446,74.48093790002167,74.48093790002167,75.84702580003068,76.55079440004192,5.0,1.3480062000453472,"[(5.0, 1.3480062000453472)]","[0.37166666666666665, 0.06166666666666667]","[0.010833333333333334, -0.27166666666666667]","[1, 1]","[0, 0]","[0, 0]","[1.1068102999124676, 2.1072431998327374]","[None, 'button2']",1,[2.118055999977514],[2.1180648000445217],0,,,0,,,0,,,0,,,0,,,0,,,76.91435600002296,76.93079910008237,76.93079910008237,76.93079910008237,76.93079910008237,76.93079910008237,76.93079910008237,76.93079910008237,77.50550010008737,1,[0.6023355999495834],[0.6023510999511927],0,,,0,,,0,,,0,,,0,,,0,,,None,77.50581590016373,77.5160157000646,77.98142040008679,77.84960160008632,"['Green', 'Blue', 'Green', 'Red', 'Yellow', 'Blue', 'Green']",,,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,022_Cyan.jpg,True,Cyan,0,96,90,01-1/022_Cyan_0.png,7,7,0,['space'],[0.4653433000203222],[0.13399969995953143],0,,,0,,,0,,,1,[6.077638800023124],[6.0776591000612825],0,,,0,,,5.0,1.1819271000567824,"[(5.0, 1.1819271000567824)]","[0.355, 0.04]","[0.006666666666666667, -0.28833333333333333]","[1, 1]","[0, 0]","[0, 0]","[0.9429295000154525, 2.1751710998360068]","[None, 'button2']",1,[2.184661699924618],[2.1846723000053316],0,,,0,,,0,,,0,,,0,,,0,,,1,[0.6179625000804663],[0.6179760999511927],0,,,0,,,0,,,0,,,0,,,0,,,None,0,7,7,17,77.98142040008679,,,,,,,,,,,01-1/022_Cyan_0.png,77.85020520002581,77.8503346000798,01-1/022_Cyan_0.png,True,Cyan,0,96,90,"[0.9035456001292914, 1.4269749999511987]",01-1/022_Cyan_0.png,8,,77.85438050003722,77.98142040008679,77.98142040008679,77.98142040008679,77.98142040008679,77.98142040008679,77.98142040008679,77.98142040008679,77.98142040008679,77.98142040008679,77.98142040008679,78.24814150016755,78.78121519996785,83.93101119995117,Cyan,2,['space'],[0.4653433000203222],[0.13399969995953143],0,,,0,,,0,,,1,[6.077638800023124],[6.0776591000612825],0,,,0,,,Cyan,86.46816470008343,86.4847326001618,86.84656640002504,86.81761560006998,84.29001200012863,84.33053719997406,84.33053719997406,0.008758699987083673,84.33053719997406,,85.53012650017627,86.46769760013558,5.0,1.1819271000567824,"[(5.0, 1.1819271000567824)]","[0.355, 0.04]","[0.006666666666666667, -0.28833333333333333]","[1, 1]","[0, 0]","[0, 0]","[0.9429295000154525, 2.1751710998360068]","[None, 'button2']",1,[2.184661699924618],[2.1846723000053316],0,,,0,,,0,,,0,,,0,,,0,,,86.83241100003943,86.84656640002504,86.84656640002504,86.84656640002504,86.84656640002504,86.84656640002504,86.84656640002504,86.84656640002504,87.4377687999513,1,[0.6179625000804663],[0.6179760999511927],0,,,0,,,0,,,0,,,0,,,0,,,None,87.43811400001869,87.44897800008766,87.91486590006389,87.78341839998029,"['Green', 'Blue', 'Green', 'Red', 'Yellow', 'Blue', 'Green', 'Cyan']",,,,84.33053719997406,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
01-1,018_Red.jpg,True,Red,97,0,11,01-1/018_Red_0.png,8,8,0,"['space', 'space']","[0.46823219978250563, 1.131461399840191]","[0.1248717000707984, 0.1250839999411255]",0,,,0,,,0,,,0,,,1,[4.49486710014753],[4.494883000152186],0,,,5.0,1.180229000048712,"[(5.0, 1.180229000048712)]","[0.3625, 0.08583333333333333, 0.03833333333333333]","[-0.03833333333333333, -0.24083333333333334, -0.2675]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.9409759000409395, 2.073401999892667, 2.873804199974984]","[None, None, 'button2']",1,[2.8829950001090765],[2.8830037999432534],0,,,0,,,0,,,0,,,0,,,0,,,1,[1.0860111999791116],[1.0860270000994205],0,,,0,,,0,,,0,,,0,,,0,,,None,0,8,8,12,87.91486590006389,,,,,,,,,,,01-1/018_Red_0.png,87.78413220006041,87.78428070014343,01-1/018_Red_0.png,True,Red,97,0,11,"[1.5006695999763906, 2.1391392000950873]",01-1/018_Red_0.png,9,,87.7894209001679,87.91486590006389,87.91486590006389,87.91486590006389,87.91486590006389,87.91486590006389,87.91486590006389,87.91486590006389,87.91486590006389,87.91486590006389,87.91486590006389,88.14807160012424,88.73081770003773,92.28177550015971,Red,2,"['space', 'space']","[0.46823219978250563, 1.131461399840191]","[0.1248717000707984, 0.1250839999411255]",0,,,0,,,0,,,0,,,1,[4.49486710014753],[4.494883000152186],0,,,Red,95.51697270013392,95.53416449995711,,95.86793359997682,92.64020370016806,92.68130429997109,92.68130429997109,0.008193999994546175,92.68130429997109,,93.87939100014046,95.5165440000128,5.0,1.180229000048712,"[(5.0, 1.180229000048712)]","[0.3625, 0.08583333333333333, 0.03833333333333333]","[-0.03833333333333333, -0.24083333333333334, -0.2675]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.9409759000409395, 2.073401999892667, 2.873804199974984]","[None, None, 'button2']",1,[2.8829950001090765],[2.8830037999432534],0,,,0,,,0,,,0,,,0,,,0,,,95.8831019999925,95.89637530012988,95.89637530012988,95.89637530012988,95.89637530012988,95.89637530012988,95.89637530012988,95.89637530012988,96.95549710001796,1,[1.0860111999791116],[1.0860270000994205],0,,,0,,,0,,,0,,,0,,,0,,,None,96.95585220004432,96.9662053999491,97.44761810009368,97.30069010006264,"['Green', 'Blue', 'Green', 'Red', 'Yellow', 'Blue', 'Green', 'Cyan', 'Red']",,92.68130429997109,,,,,,,,,001,002,2026-03-24_22h02.12.952,Train1Laptop,,2026.1.1,60.16365723590446,2026-03-24 22h02.14.421982 +0100,
