421.2419 	INFO 	Loaded monitor calibration from ['2026_03_13 16:59']
421.4875 	INFO 	Using renderer 'Intel(R) Graphics' for graphics
421.4875 	INFO 	OpenGL version supported by driver is 4..
421.5614 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000244655533D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000024465553370>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000024465600DF0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(0.0), np.float64(0.0)], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
421.5615 	EXP 	window1: backgroundImage = ''
421.5615 	EXP 	window1: backgroundFit = 'none'
422.2510 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
422.2511 	EXP 	window1: recordFrameIntervals = False
422.4429 	EXP 	window1: recordFrameIntervals = True
424.1097 	EXP 	window1: recordFrameIntervals = False
424.1098 	EXP 	Screen (0) actual frame rate measured at 60.10Hz
424.1897 	INFO 	keyboard.Keyboard is using ptb backend.
424.1898 	EXP 	Tester2: status = STARTED
424.3093 	EXP 	Created Welcome_info = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=np.float64(42.0), italic=False, languageStyle='LTR', name='Welcome_info', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='pix', win=Window(...), wrapWidth=1500.0)
